if,while,return,char,statement,break,Identifier,factor,int,void,else,string,IntegerNumber,float,bool,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,468
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,459
-,-,-,-,-,-,-,460,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,457
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,466
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,461
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,461
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,468
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,466
-,-,-,-,-,-,-,467,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,464
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,456
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,439
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,547
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,473
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,479
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,471
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,506
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,505
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,488
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,479
-,-,-,-,-,-,-,480,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,477
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,486
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,481
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,481
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,488
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,486
-,-,-,-,-,-,-,487,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,484
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,476
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,495
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,489
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,489
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,505
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,504
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,495
-,-,-,-,-,-,-,496,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,493
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,502
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,497
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,497
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,504
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,502
-,-,-,-,-,-,-,503,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,492
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,475
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,474
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,520
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,507
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,507
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,507
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,507
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,507
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,507
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,507
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,507
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,506
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,546
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,529
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,520
-,-,-,-,-,-,-,521,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,518
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,527
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,522
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,522
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,529
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,527
-,-,-,-,-,-,-,528,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,525
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,517
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,530
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,530
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,546
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,545
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,536
-,-,-,-,-,-,-,537,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,534
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,543
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,538
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,538
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,545
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,543
-,-,-,-,-,-,-,544,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,541
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,533
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,516
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,393
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,552
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,704
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,703
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,552
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,558
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,550
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,585
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,584
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,567
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,558
-,-,-,-,-,-,-,559,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,556
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,560
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,560
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,567
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,565
-,-,-,-,-,-,-,566,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,563
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,555
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,574
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,568
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,568
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,584
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,583
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,574
-,-,-,-,-,-,-,575,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,572
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,581
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,576
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,576
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,583
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,581
-,-,-,-,-,-,-,582,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,579
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,571
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,554
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,553
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,599
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,586
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,586
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,586
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,586
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,586
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,586
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,586
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,586
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,585
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,625
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,608
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,599
-,-,-,-,-,-,-,600,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,597
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,606
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,601
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,601
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,608
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,606
-,-,-,-,-,-,-,607,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,604
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,596
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,615
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,609
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,609
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,625
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,624
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,615
-,-,-,-,-,-,-,616,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,613
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,622
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,617
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,617
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,624
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,622
-,-,-,-,-,-,-,623,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,620
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,612
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,595
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,629
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,703
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,629
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,635
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,627
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,662
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,661
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,644
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,635
-,-,-,-,-,-,-,636,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,633
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,642
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,637
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,637
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,644
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,642
-,-,-,-,-,-,-,643,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,640
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,632
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,651
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,645
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,645
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,661
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,660
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,651
-,-,-,-,-,-,-,652,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,649
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,658
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,653
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,653
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,660
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,658
-,-,-,-,-,-,-,659,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,656
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,648
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,631
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,630
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,676
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,663
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,663
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,663
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,663
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,663
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,663
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,663
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,663
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,662
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,702
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,685
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,676
-,-,-,-,-,-,-,677,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,674
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,683
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,678
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,678
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,685
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,683
-,-,-,-,-,-,-,684,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,681
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,673
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,692
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,686
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,686
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,702
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,701
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,692
-,-,-,-,-,-,-,693,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,690
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,699
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,694
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,694
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,701
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,699
-,-,-,-,-,-,-,700,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,697
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,689
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,672
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,549
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,392
-,-,-,-,706,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,708,-,-,-,-,707
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,380
-,-,-,-,709,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,707
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,721
-,-,-,-,-,-,715,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,716
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,714
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,716
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,721
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,726
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,713
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1034
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,877
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,726
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,732
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,724
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,759
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,758
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,741
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,732
-,-,-,-,-,-,-,733,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,730
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,739
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,734
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,734
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,741
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,739
-,-,-,-,-,-,-,740,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,737
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,729
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,748
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,742
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,742
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,758
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,757
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,748
-,-,-,-,-,-,-,749,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,746
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,750
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,750
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,757
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,755
-,-,-,-,-,-,-,756,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,753
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,745
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,728
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,727
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,760
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,760
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,760
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,760
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,760
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,760
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,760
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,760
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,759
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,799
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,782
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,773
-,-,-,-,-,-,-,774,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,771
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,780
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,775
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,775
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,782
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,780
-,-,-,-,-,-,-,781,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,778
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,770
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,789
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,783
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,783
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,799
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,798
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,789
-,-,-,-,-,-,-,790,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,787
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,796
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,791
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,791
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,798
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,796
-,-,-,-,-,-,-,797,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,794
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,786
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,769
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,877
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,803
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,809
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,801
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,836
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,835
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,818
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,809
-,-,-,-,-,-,-,810,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,807
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,816
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,811
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,811
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,818
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,816
-,-,-,-,-,-,-,817,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,814
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,806
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,825
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,819
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,819
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,835
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,834
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,825
-,-,-,-,-,-,-,826,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,823
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,832
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,827
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,827
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,834
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,832
-,-,-,-,-,-,-,833,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,830
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,822
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,805
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,804
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,850
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,837
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,837
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,837
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,837
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,837
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,837
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,837
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,837
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,836
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,876
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,859
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,850
-,-,-,-,-,-,-,851,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,848
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,857
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,852
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,852
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,859
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,857
-,-,-,-,-,-,-,858,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,855
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,847
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,860
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,860
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,876
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,875
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,866
-,-,-,-,-,-,-,867,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,864
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,873
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,868
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,868
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,875
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,873
-,-,-,-,-,-,-,874,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,871
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,863
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,846
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,723
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,882
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1034
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1033
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,882
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,888
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,880
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,915
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,914
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,897
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,888
-,-,-,-,-,-,-,889,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,886
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,890
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,890
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,897
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,895
-,-,-,-,-,-,-,896,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,893
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,885
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,904
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,898
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,898
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,914
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,913
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,904
-,-,-,-,-,-,-,905,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,902
