if,while,return,char,statement,break,Identifier,factor,int,void,else,string,IntegerNumber,float,bool,e
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,101
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,101
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,108
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,106
-,-,-,-,-,-,-,107,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,104
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,96
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,115
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,109
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1116
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,125
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1136
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,115
-,-,-,-,-,-,-,116,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,113
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,122
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,117
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,117
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,124
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,122
-,-,-,-,-,-,-,123,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,120
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,112
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,95
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,94
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,140
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,127
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,127
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,127
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1315
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1333
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,127
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,127
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,127
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,126
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,166
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,149
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,140
-,-,-,-,-,-,-,141,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,138
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,147
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,142
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,142
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,149
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,147
-,-,-,-,-,-,-,148,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,145
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,137
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,150
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,150
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,166
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,165
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,156
-,-,-,-,-,-,-,157,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,154
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,163
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,158
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,158
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,165
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,163
-,-,-,-,-,-,-,164,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,161
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,153
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,136
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,324
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,323
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,178
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,170
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,205
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,204
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,187
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,178
-,-,-,-,-,-,-,179,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,176
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,180
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,180
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,187
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,185
-,-,-,-,-,-,-,186,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,183
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,175
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,194
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,188
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,188
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,204
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,203
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,194
-,-,-,-,-,-,-,195,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,192
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,201
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,196
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,196
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,203
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,201
-,-,-,-,-,-,-,202,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,199
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,191
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,174
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,173
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,219
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,206
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,206
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,206
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,206
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,206
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,206
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,206
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,206
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,205
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,245
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,228
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,219
-,-,-,-,-,-,-,220,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,217
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,226
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,221
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,221
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,228
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,226
-,-,-,-,-,-,-,227,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,224
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,216
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,235
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,229
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,229
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,245
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,244
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,235
-,-,-,-,-,-,-,236,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,233
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,242
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,237
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,237
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,244
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,242
-,-,-,-,-,-,-,243,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,240
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,232
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,215
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,249
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,323
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,249
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,255
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,247
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,282
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,281
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,264
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,255
-,-,-,-,-,-,-,256,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,253
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,262
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,257
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,257
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,264
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,262
-,-,-,-,-,-,-,263,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,260
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,252
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,271
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,265
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,265
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,281
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,280
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,271
-,-,-,-,-,-,-,272,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,269
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,278
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,273
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,273
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,280
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,278
-,-,-,-,-,-,-,279,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,276
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,268
