beginfloat,(,),void,;,Identifier,e,statement,[,Function,float,char,],",",int,bool,string,IntegerNumber
91,-,-,-,-,-,-,88,-,-,-,-,-,-,191,-,-,-,-
92,-,-,-,-,-,-,88,-,-,-,-,-,-,-,-,-,-,-
93,-,-,-,-,-,-,88,-,-,-,-,-,-,-,-,-,-,-
94,-,-,-,-,-,-,88,-,-,-,-,-,-,-,-,-,-,-
95,-,60,-,-,-,-,87,-,-,-,-,-,-,-,-,-,-,-
96,-,-,-,-,-,-,102,-,-,-,-,-,-,-,-,-,-,-
97,-,-,-,-,-,-,98,-,-,-,-,-,-,-,-,-,-,-
98,-,-,-,-,-,-,96,-,-,-,-,-,-,-,-,-,-,-
101,-,-,-,-,-,-,98,-,-,-,-,-,-,-,-,-,-,-
102,-,-,-,-,-,-,95,-,-,-,-,-,-,-,-,-,-,-
103,-,-,-,-,-,105,-,-,-,-,-,-,-,-,-,-,-,-
104,-,-,-,-,-,-,102,-,-,-,-,-,-,-,-,-,-,-
105,-,-,-,-,-,-,106,-,-,-,-,-,-,-,-,-,-,-
106,-,-,-,-,-,-,104,-,-,-,-,-,-,-,-,-,-,-
109,-,-,-,-,-,-,106,-,-,-,-,-,-,-,-,-,-,-
110,-,-,-,-,-,-,62,-,-,-,-,-,-,-,-,-,-,-
111,-,-,-,-,-,-,-,112,-,-,-,-,-,-,-,-,-,-
112,-,-,-,-,-,-,51,-,-,-,-,-,-,-,-,-,-,-
113,-,-,-,168,-,-,-,-,-,-,165,170,-,-,166,169,167,-
114,-,-,-,-,-,-,225,-,-,-,-,-,-,-,-,-,-,-
115,-,-,-,-,-,-,114,-,-,-,-,-,-,-,-,-,-,-
116,-,-,-,-,-,125,-,-,-,-,-,-,-,-,-,-,-,-
117,-,-,-,-,-,-,116,-,-,-,-,-,-,-,-,-,-,-
118,-,-,-,-,-,-,116,-,-,-,-,-,-,-,-,-,-,-
119,-,-,-,-,-,-,116,-,-,-,-,-,-,-,-,-,-,-
120,-,-,-,-,-,-,116,-,-,-,-,-,-,-,-,-,-,-
121,-,-,-,-,-,-,116,-,-,-,-,-,-,-,-,-,-,-
122,-,-,-,-,-,-,116,-,-,-,-,-,-,-,-,-,-,-
123,-,-,-,-,-,-,115,-,-,-,-,-,-,-,-,-,-,-
124,-,-,-,-,-,-,130,-,-,-,-,-,-,-,-,-,-,-
125,-,-,-,-,-,-,126,-,-,-,-,-,-,-,-,-,-,-
126,-,-,-,-,-,-,124,-,-,-,-,-,-,-,-,-,-,-
631,-,-,-,-,-,-,-,-,-,-,-,-,137,-,-,-,-,-
129,-,-,-,-,-,-,126,-,-,-,-,-,-,-,-,-,-,-
130,-,-,-,-,-,-,123,-,-,-,-,-,-,-,-,-,-,-
131,-,-,-,-,-,133,-,-,-,-,-,-,-,-,-,-,-,-
132,-,-,-,-,-,-,130,-,-,-,-,-,-,-,-,-,-,-
133,-,-,-,-,-,-,134,-,-,-,-,-,-,-,-,-,-,-
134,-,-,-,-,-,-,132,-,-,-,-,-,-,-,-,-,-,-
137,-,-,-,-,-,-,134,-,-,-,-,-,-,-,-,-,-,-
139,-,-,-,-,-,-,138,-,-,-,-,-,-,-,-,-,-,-
140,-,-,-,-,-,-,138,-,-,-,-,-,-,-,-,-,-,-
141,-,-,-,-,-,-,138,-,-,-,-,-,-,-,-,-,-,-
142,-,-,-,-,-,-,138,-,-,-,-,-,-,-,-,-,-,-
143,-,-,-,-,-,-,138,-,-,-,-,-,-,-,-,-,-,-
144,-,-,-,-,-,-,138,-,-,-,-,-,-,-,-,-,-,-
146,-,-,-,-,-,149,-,-,-,-,-,-,-,-,-,-,-,-
148,-,-,-,-,-,-,154,-,-,-,-,-,-,-,-,-,-,-
149,-,-,-,-,-,-,150,-,-,-,-,-,-,-,-,-,-,-
150,-,-,-,-,-,-,148,-,-,-,-,-,-,-,-,-,-,-
153,-,-,-,-,-,-,150,-,-,-,-,-,-,-,-,-,-,-
154,-,-,-,-,-,-,147,-,-,-,-,-,-,-,-,-,-,-
155,-,-,-,-,-,157,-,-,-,-,-,-,-,-,-,-,-,-
156,-,-,-,-,-,-,154,-,-,-,-,-,-,-,-,-,-,-
157,-,-,-,-,-,-,158,-,-,-,-,-,-,-,-,-,-,-
158,-,-,-,-,-,-,156,-,-,-,-,-,-,-,-,-,-,-
161,-,-,-,-,-,-,158,-,-,-,-,-,-,-,-,-,-,-
162,-,-,-,-,-,-,115,-,-,-,-,-,-,-,-,-,-,-
163,-,-,-,-,-,-,114,-,-,-,-,-,-,-,-,-,-,-
164,-,-,-,-,-,-,-,-,-,171,-,-,-,-,-,-,-,-
165,-,-,-,-,-,-,164,-,-,-,-,-,-,-,-,-,-,-
166,-,-,-,-,-,-,164,-,-,-,-,-,-,-,-,-,-,-
167,-,-,-,-,-,-,164,-,-,-,-,-,-,-,-,-,-,-
168,-,-,-,-,-,-,164,-,-,-,-,-,-,-,-,-,-,-
169,-,-,-,-,-,-,164,-,-,-,-,-,-,-,-,-,-,-
170,-,-,-,-,-,-,164,-,-,-,-,-,-,-,-,-,-,-
171,-,172,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
172,-,-,-,180,-,-,173,-,-,-,177,182,-,-,178,181,179,-
174,-,-,-,-,-,-,173,-,-,-,-,-,-,-,-,-,-,-
175,-,-,-,-,-,-,222,-,-,-,-,-,-,-,-,-,-,-
176,-,-,-,-,-,185,-,-,-,-,-,-,-,-,-,-,-,-
177,-,-,-,-,-,-,176,-,-,-,-,-,-,-,-,-,-,-
178,-,-,-,-,-,-,176,-,-,-,-,-,-,-,-,-,-,-
179,-,-,-,-,-,-,176,-,-,-,-,-,-,-,-,-,-,-
180,-,-,-,-,-,-,176,-,-,-,-,-,-,-,-,-,-,-
181,-,-,-,-,-,-,176,-,-,-,-,-,-,-,-,-,-,-
182,-,-,-,-,-,-,176,-,-,-,-,-,-,-,-,-,-,-
183,-,-,-,-,-,-,175,-,-,-,-,-,-,-,-,-,-,-
184,-,-,-,-,-,-,190,-,-,-,-,-,-,-,-,-,-,-
185,-,-,-,-,-,-,186,-,-,-,-,-,-,-,-,-,-,-
186,-,-,-,-,-,-,184,-,-,-,-,-,-,-,-,-,-,-
691,-,-,-,-,-,-,-,-,-,-,-,-,197,-,-,-,-,-
189,-,-,-,-,-,-,186,-,-,-,-,-,-,-,-,-,-,-
190,-,-,-,-,-,-,183,-,-,-,-,-,-,-,-,-,-,-
191,-,-,-,-,-,193,-,-,-,-,-,-,-,-,-,-,-,-
192,-,-,-,-,-,-,190,-,-,-,-,-,-,-,-,-,-,-
193,-,-,-,-,-,-,194,-,-,-,-,-,-,-,-,-,-,-
194,-,-,-,-,-,-,192,-,-,-,-,-,-,-,-,-,-,-
197,-,-,-,-,-,-,194,-,-,-,-,-,-,-,-,-,-,-
198,-,-,-,204,-,-,-,-,-,-,201,206,-,-,202,205,203,-
199,-,-,-,-,-,-,222,-,-,-,-,-,-,-,-,-,-,-
712,-,-,-,-,-,-,-,-,219,-,-,-,-,-,-,-,-,-
201,-,-,-,-,-,-,200,-,-,-,-,-,-,103,-,-,-,-
202,-,-,-,-,-,-,200,-,-,-,-,-,-,-,-,-,-,-
203,-,-,-,-,-,-,200,-,-,-,-,-,-,-,-,-,-,-
204,-,-,-,-,-,-,200,-,-,-,-,-,-,-,-,-,-,-
205,-,-,-,-,-,-,200,-,-,-,-,-,-,-,-,-,-,-
206,-,-,-,-,-,-,200,-,-,-,-,-,-,-,-,-,-,-
207,-,-,-,-,-,-,199,-,-,-,-,-,-,-,-,-,-,-
208,-,-,-,-,-,-,214,-,-,-,-,-,-,-,-,-,-,-
209,-,-,-,-,-,-,210,-,-,-,-,-,-,-,-,-,-,-
210,-,-,-,-,-,-,208,-,-,-,-,-,-,-,-,-,-,-
212,-,-,-,-,-,-,-,-,-,-,-,-,213,-,-,-,-,-
213,-,-,-,-,-,-,210,-,-,-,-,-,-,-,-,-,-,-
214,-,-,-,-,-,-,207,-,-,-,-,-,-,-,-,-,-,-
215,-,-,-,-,-,217,-,-,-,-,-,-,-,-,-,-,-,-
216,-,-,-,-,-,-,214,-,-,-,-,-,-,-,-,-,-,-
217,-,-,-,-,-,-,218,-,-,-,-,-,-,-,-,-,-,-
218,-,-,-,-,-,-,216,-,-,-,-,-,-,-,-,-,-,-
221,-,-,-,-,-,-,218,-,-,-,-,-,-,-,-,-,-,-
222,-,-,-,-,-,-,174,-,-,-,-,-,-,-,-,-,-,-
223,-,-,-,-,-,-,-,224,-,-,-,-,-,-,-,-,-,-
224,-,-,-,-,-,-,163,-,-,-,-,-,-,-,-,-,-,-
741,-,-,-,-,162,-,-,-,-,-,-,-,-,-,-,-,-,-
751,-,-,-,-,-,-,-,-,159,-,-,-,-,-,-,-,-,-
251,-,-,-,-,-,-,-,-,-,-,-,-,153,-,-,-,-,-
801,-,-,-,-,-,-,-,-,-,-,-,-,109,-,-,-,-,-
821,-,-,-,-,-,-,-,-,-,-,-,-,129,-,-,-,-,-
311,-,-,-,-,113,-,-,-,-,-,-,-,-,-,-,-,-,-
831,-,-,-,-,-,-,-,-,145,-,-,-,-,-,-,-,-,-
331,-,-,-,-,-,-,-,-,135,-,-,-,-,-,-,-,-,-
881,-,-,-,-,-,-,-,-,-,-,-,-,189,-,-,-,-,-
371,-,-,223,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
891,-,-,-,-,198,-,-,-,-,-,-,-,-,-,-,-,-,-
902,-,-,-,-,-,-,-,-,211,-,-,-,-,-,-,-,-,-
391,-,-,-,-,-,-,-,-,195,-,-,-,-,-,-,-,-,-
412,-,-,-,-,-,-,-,-,-,-,-,-,-,215,-,-,-,-
941,-,-,-,-,-,-,-,-,151,-,-,-,-,-,-,-,-,-
451,-,-,-,-,-,-,-,-,-,-,-,-,-,155,-,-,-,-
501,-,-,-,-,-,-,-,-,107,-,-,-,-,-,-,-,-,-
