string,Identifier,bool,begin,],",",;,(,void,Function,),Integer-Number,float,[,int,statement,char,e
78,-,-,-,-,-,[79],-,-,-,-,-,-,-,-,-,-,-,[71]
79,-,[81],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[78]
81,-,-,-,-,-,-,-,-,-,-,-,-,-,[83],-,-,-,[82]
82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[80]
83,-,-,-,-,-,-,-,-,-,-,-,[84],-,-,-,-,-,-
84,-,-,-,-,[85],-,-,-,-,-,-,-,-,-,-,-,-,-
85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[82]
86,-,-,-,-,-,-,[87],-,-,-,-,-,-,-,-,-,-,[62]
87,[92],-,[94],-,-,-,-,-,[93],-,-,-,[90],-,[91],-,[95],-
88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[86]
89,-,[98],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[89]
91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[89]
92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[89]
93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[89]
94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[89]
95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[89]
96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[88]
97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[103]
98,-,-,-,-,-,-,-,-,-,-,-,-,-,[100],-,-,-,[99]
99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[97]
100,-,-,-,-,-,-,-,-,-,-,-,[101],-,-,-,-,-,-
101,-,-,-,-,[102],-,-,-,-,-,-,-,-,-,-,-,-,-
102,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[99]
103,-,-,-,-,-,[104],-,-,-,-,-,-,-,-,-,-,-,[96]
104,-,[106],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[103]
106,-,-,-,-,-,-,-,-,-,-,-,-,-,[108],-,-,-,[107]
107,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[105]
108,-,-,-,-,-,-,-,-,-,-,-,[109],-,-,-,-,-,-
109,-,-,-,-,[110],-,-,-,-,-,-,-,-,-,-,-,-,-
110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[107]
111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[112],-,-
