bool,begin,",",),],char,e,[,int,statement,Integer-Number,void,(,Function,;,Identifier,float,string
77,-,-,[79],[111],-,-,-,-,-,-,-,-,-,-,[87],-,-,-
78,-,-,[79],[111],-,-,-,-,-,-,-,-,-,-,[87],-,-,-
79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[81],-,-
80,-,-,[79],[111],-,-,-,-,-,-,-,-,-,-,[87],-,-,-
81,-,-,-,-,-,-,[80],[83],-,-,-,-,-,-,-,-,-,-
82,-,-,[79],[111],-,-,-,-,-,-,-,-,-,-,[87],-,-,-
83,-,-,-,-,-,-,-,-,-,-,[84],-,-,-,-,-,-,-
84,-,-,-,-,[85],-,-,-,-,-,-,-,-,-,-,-,-,-
85,-,-,[79],[111],-,-,-,-,-,-,-,-,-,-,[87],-,-,-
86,-,-,-,[111],-,-,-,-,-,-,-,-,-,-,[87],-,-,-
87,[94],-,-,-,-,[95],-,-,[91],-,-,[93],-,-,-,-,[90],[92]
88,-,-,-,[111],-,-,-,-,-,-,-,-,-,-,[87],-,-,-
89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[98],-,-
90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[98],-,-
91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[98],-,-
92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[98],-,-
93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[98],-,-
94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[98],-,-
95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[98],-,-
96,-,-,-,[111],-,-,-,-,-,-,-,-,-,-,[87],-,-,-
97,-,-,[104],[111],-,-,-,-,-,-,-,-,-,-,[87],-,-,-
98,-,-,-,-,-,-,[97],[100],-,-,-,-,-,-,-,-,-,-
99,-,-,[104],[111],-,-,-,-,-,-,-,-,-,-,[87],-,-,-
100,-,-,-,-,-,-,-,-,-,-,[101],-,-,-,-,-,-,-
101,-,-,-,-,[102],-,-,-,-,-,-,-,-,-,-,-,-,-
102,-,-,[104],[111],-,-,-,-,-,-,-,-,-,-,[87],-,-,-
103,-,-,[104],[111],-,-,-,-,-,-,-,-,-,-,[87],-,-,-
104,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[106],-,-
105,-,-,[104],[111],-,-,-,-,-,-,-,-,-,-,[87],-,-,-
106,-,-,-,-,-,-,[105],[108],-,-,-,-,-,-,-,-,-,-
107,-,-,[104],[111],-,-,-,-,-,-,-,-,-,-,[87],-,-,-
108,-,-,-,-,-,-,-,-,-,-,[109],-,-,-,-,-,-,-
109,-,-,-,-,[110],-,-,-,-,-,-,-,-,-,-,-,-,-
110,-,-,[104],[111],-,-,-,-,-,-,-,-,-,-,[87],-,-,-
111,-,-,-,-,-,-,-,-,-,[112],-,-,-,-,-,-,-,-
112,[207],-,-,-,-,[208],-,-,[204],-,-,[206],-,-,[114],-,[203],[205]
113,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[114],-,-,-
114,"[122, 144, 170]",-,-,-,-,"[123, 145, 171]",-,-,"[119, 141, 167]",-,-,"[121, 143, 169]",-,-,-,-,"[118, 140, 166]","[120, 142, 168]"
115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[114],-,-,-
116,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[114],-,-,-
117,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[126],-,-
118,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[126],-,-
119,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[126],-,-
120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[126],-,-
121,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[126],-,-
122,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[126],-,-
123,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[126],-,-
124,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[114],-,-,-
125,-,-,[132],-,-,-,-,-,-,-,-,-,-,-,[114],-,-,-
126,-,-,-,-,-,-,[125],[128],-,-,-,-,-,-,-,-,-,-
127,-,-,[132],-,-,-,-,-,-,-,-,-,-,-,[114],-,-,-
128,-,-,-,-,-,-,-,-,-,-,[129],-,-,-,-,-,-,-
129,-,-,-,-,[130],-,-,-,-,-,-,-,-,-,-,-,-,-
130,-,-,[132],-,-,-,-,-,-,-,-,-,-,-,[114],-,-,-
131,-,-,[132],-,-,-,-,-,-,-,-,-,-,-,[114],-,-,-
132,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[134],-,-
133,-,-,[132],-,-,-,-,-,-,-,-,-,-,-,[114],-,-,-
