e,(,),",",;,Function,Identifier,Integer-Number,[,],begin,bool,char,end,float,int,statement,string,void
188,-,-,-,-,-,-,-,[189],-,-,-,-,-,-,-,-,-,-,-
189,-,-,-,-,-,-,-,-,-,[190],-,-,-,-,-,-,-,-,-
192,-,-,-,-,-,-,[194],-,-,-,-,-,-,-,-,-,-,-,-
194,-,-,[224],[192],[200],-,-,-,[196],-,-,-,-,-,-,-,-,-,-
196,-,-,-,-,-,-,-,[197],-,-,-,-,-,-,-,-,-,-,-
197,-,-,-,-,-,-,-,-,-,[198],-,-,-,-,-,-,-,-,-
200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
202,-,-,-,-,-,-,[211],-,-,-,-,-,-,-,-,-,-,-,-
210,-,-,[224],[217],[200],-,-,-,-,-,-,-,-,-,-,-,-,-,-
211,-,-,[224],[217],[200],-,-,-,[213],-,-,-,-,-,-,-,-,-,-
213,-,-,-,-,-,-,-,[214],-,-,-,-,-,-,-,-,-,-,-
214,-,-,-,-,-,-,-,-,-,[215],-,-,-,-,-,-,-,-,-
217,-,-,-,-,-,-,[219],-,-,-,-,-,-,-,-,-,-,-,-
219,-,-,[224],[217],[200],-,-,-,[221],-,-,-,-,-,-,-,-,-,-
221,-,-,-,-,-,-,-,[222],-,-,-,-,-,-,-,-,-,-,-
222,-,-,-,-,-,-,-,-,-,[223],-,-,-,-,-,-,-,-,-
224,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[225],-,-
(226),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
227,-,-,-,-,-,[59],[13],-,[33],[41],-,-,-,-,-,-,-,-,-
228,-,-,-,-,-,[59],[13],-,[33],[41],-,[69],[70],-,[65],[66],-,[67],[68]
233,-,-,-,-,-,[172],[126],-,[146],-,-,-,-,-,-,-,-,-,-
