e,(,),",",;,Function,Identifier,Integer-Number,[,],begin,bool,char,end,float,int,statement,string,void
0,-,-,-,-,-,-,-,-,-,-,[1],-,-,-,-,-,-,-,-
2,-,-,-,-,[114],-,-,-,-,-,-,[207],[208],[226],[203],[204],-,[205],[206]
4,-,-,-,-,-,-,[13],-,-,[41],-,-,-,-,-,-,-,-,-
6,-,-,-,-,-,-,[13],-,-,[41],-,[69],[70],-,[65],[66],-,[67],[68]
8,-,-,-,-,-,-,[13],-,-,[41],-,-,-,-,-,-,-,-,-
10,-,-,-,-,-,-,[13],-,-,[41],-,-,-,-,-,-,-,-,-
12,-,-,-,[19],[114],-,-,-,-,-,-,[207],[208],[226],[203],[204],-,[205],[206]
14,-,-,-,[19],[114],-,-,-,-,-,-,[207],[208],[226],[203],[204],-,[205],[206]
16,-,-,-,-,-,-,-,-,-,[17],-,-,-,-,-,-,-,-,-
18,-,-,-,[19],[114],-,-,-,-,-,-,[207],[208],[226],[203],[204],-,[205],[206]
19,-,-,-,-,-,-,[21],-,-,-,-,-,-,-,-,-,-,-,-
21,-,-,-,[19],[114],-,-,-,[23],-,-,[207],[208],[226],[203],[204],-,[205],[206]
23,-,-,-,-,-,-,-,[24],-,-,-,-,-,-,-,-,-,-,-
24,-,-,-,-,-,-,-,-,-,[25],-,-,-,-,-,-,-,-,-
26,-,-,-,-,-,-,-,-,[33],-,-,-,-,-,-,-,-,-,-
27,-,-,-,-,-,-,-,-,[33],-,-,-,-,-,-,-,-,-,-
28,-,-,-,-,-,-,-,-,[33],-,-,-,-,-,-,-,-,-,-
29,-,-,-,-,-,-,-,-,[33],-,-,-,-,-,-,-,-,-,-
30,-,-,-,-,-,-,-,-,[33],-,-,-,-,-,-,-,-,-,-
31,-,-,-,-,-,-,-,-,[33],-,-,-,-,-,-,-,-,-,-
32,-,-,-,-,-,-,-,-,[33],-,-,-,-,-,-,-,-,-,-
33,-,-,-,-,-,-,-,-,-,[34],-,-,-,-,-,-,-,-,-
34,-,-,-,-,-,-,[37],-,-,-,-,-,-,-,-,-,-,-,-
35,-,-,-,-,[50],-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,-,-,-,[43],[50],-,-,-,[39],-,-,-,-,-,-,-,-,-,-
39,-,-,-,-,-,-,-,[40],-,-,-,-,-,-,-,-,-,-,-
40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,-,-,-,[43],[50],-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,-,-,-,-,-,-,[45],-,-,-,-,-,-,-,-,-,-,-,-
45,-,-,-,[43],[50],-,-,-,[47],-,-,-,-,-,-,-,-,-,-
47,-,-,-,-,-,-,-,[48],-,-,-,-,-,-,-,-,-,-,-
48,-,-,-,-,-,-,-,-,-,[49],-,-,-,-,-,-,-,-,-
50,-,-,-,-,[114],-,-,-,-,-,-,[207],[208],[226],[203],[204],-,[205],[206]
52,-,-,-,-,-,[59],-,-,-,-,-,-,-,-,-,-,-,-,-
53,-,-,-,-,-,[59],-,-,-,-,-,-,-,-,-,-,-,-,-
54,-,-,-,-,-,[59],-,-,-,-,-,-,-,-,-,-,-,-,-
55,-,-,-,-,-,[59],-,-,-,-,-,-,-,-,-,-,-,-,-
56,-,-,-,-,-,[59],-,-,-,-,-,-,-,-,-,-,-,-,-
57,-,-,-,-,-,[59],-,-,-,-,-,-,-,-,-,-,-,-,-
58,-,-,-,-,-,[59],-,-,-,-,-,-,-,-,-,-,-,-,-
59,-,[60],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
60,-,-,[111],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,-,-,[111],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
62,-,-,[111],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
64,-,-,-,-,-,-,[73],-,-,-,-,-,-,-,-,-,-,-,-
65,-,-,-,-,-,-,[73],-,-,-,-,-,-,-,-,-,-,-,-
66,-,-,-,-,-,-,[73],-,-,-,-,-,-,-,-,-,-,-,-
67,-,-,-,-,-,-,[73],-,-,-,-,-,-,-,-,-,-,-,-
68,-,-,-,-,-,-,[73],-,-,-,-,-,-,-,-,-,-,-,-
69,-,-,-,-,-,-,[73],-,-,-,-,-,-,-,-,-,-,-,-
70,-,-,-,-,-,-,[73],-,-,-,-,-,-,-,-,-,-,-,-
72,-,-,[111],[79],[87],-,-,-,-,-,-,-,-,-,-,-,-,-,-
74,-,-,[111],[79],[87],-,-,-,-,-,-,-,-,-,-,-,-,-,-
75,-,-,-,-,-,-,-,[76],-,-,-,-,-,-,-,-,-,-,-
76,-,-,-,-,-,-,-,-,-,[77],-,-,-,-,-,-,-,-,-
78,-,-,[111],[79],[87],-,-,-,-,-,-,-,-,-,-,-,-,-,-
79,-,-,-,-,-,-,[81],-,-,-,-,-,-,-,-,-,-,-,-
81,-,-,[111],[79],[87],-,-,-,[83],-,-,-,-,-,-,-,-,-,-
83,-,-,-,-,-,-,-,[84],-,-,-,-,-,-,-,-,-,-,-
84,-,-,-,-,-,-,-,-,-,[85],-,-,-,-,-,-,-,-,-
86,-,-,[111],-,[87],-,-,-,-,-,-,-,-,-,-,-,-,-,-
88,-,-,[111],-,[87],-,-,-,-,-,-,-,-,-,-,-,-,-,-
89,-,-,-,-,-,-,[98],-,-,-,-,-,-,-,-,-,-,-,-
90,-,-,-,-,-,-,[98],-,-,-,-,-,-,-,-,-,-,-,-
91,-,-,-,-,-,-,[98],-,-,-,-,-,-,-,-,-,-,-,-
92,-,-,-,-,-,-,[98],-,-,-,-,-,-,-,-,-,-,-,-
93,-,-,-,-,-,-,[98],-,-,-,-,-,-,-,-,-,-,-,-
94,-,-,-,-,-,-,[98],-,-,-,-,-,-,-,-,-,-,-,-
95,-,-,-,-,-,-,[98],-,-,-,-,-,-,-,-,-,-,-,-
97,-,-,[111],[104],[87],-,-,-,-,-,-,-,-,-,-,-,-,-,-
99,-,-,[111],[104],[87],-,-,-,-,-,-,-,-,-,-,-,-,-,-
100,-,-,-,-,-,-,-,[101],-,-,-,-,-,-,-,-,-,-,-
101,-,-,-,-,-,-,-,-,-,[102],-,-,-,-,-,-,-,-,-
103,-,-,[111],[104],[87],-,-,-,-,-,-,-,-,-,-,-,-,-,-
104,-,-,-,-,-,-,[106],-,-,-,-,-,-,-,-,-,-,-,-
106,-,-,[111],[104],[87],-,-,-,[108],-,-,-,-,-,-,-,-,-,-
108,-,-,-,-,-,-,-,[109],-,-,-,-,-,-,-,-,-,-,-
109,-,-,-,-,-,-,-,-,-,[110],-,-,-,-,-,-,-,-,-
111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[112],-,-
113,-,-,-,-,[114],-,-,-,-,-,-,-,-,[226],-,-,-,-,-
115,-,-,-,-,[114],-,-,-,-,-,-,-,-,[226],-,-,-,-,-
117,-,-,-,-,-,-,[126],-,-,-,-,-,-,-,-,-,-,-,-
118,-,-,-,-,-,-,[126],-,-,-,-,-,-,-,-,-,-,-,-
119,-,-,-,-,-,-,[126],-,-,-,-,-,-,-,-,-,-,-,-
120,-,-,-,-,-,-,[126],-,-,-,-,-,-,-,-,-,-,-,-
121,-,-,-,-,-,-,[126],-,-,-,-,-,-,-,-,-,-,-,-
122,-,-,-,-,-,-,[126],-,-,-,-,-,-,-,-,-,-,-,-
123,-,-,-,-,-,-,[126],-,-,-,-,-,-,-,-,-,-,-,-
125,-,-,-,[132],[114],-,-,-,-,-,-,-,-,[226],-,-,-,-,-
127,-,-,-,[132],[114],-,-,-,-,-,-,-,-,[226],-,-,-,-,-
128,-,-,-,-,-,-,-,[129],-,-,-,-,-,-,-,-,-,-,-
129,-,-,-,-,-,-,-,-,-,[130],-,-,-,-,-,-,-,-,-
131,-,-,-,[132],[114],-,-,-,-,-,-,-,-,[226],-,-,-,-,-
132,-,-,-,-,-,-,[134],-,-,-,-,-,-,-,-,-,-,-,-
134,-,-,-,[132],[114],-,-,-,[136],-,-,-,-,[226],-,-,-,-,-
136,-,-,-,-,-,-,-,[137],-,-,-,-,-,-,-,-,-,-,-
137,-,-,-,-,-,-,-,-,-,[138],-,-,-,-,-,-,-,-,-
139,-,-,-,-,-,-,-,-,[146],-,-,-,-,-,-,-,-,-,-
140,-,-,-,-,-,-,-,-,[146],-,-,-,-,-,-,-,-,-,-
141,-,-,-,-,-,-,-,-,[146],-,-,-,-,-,-,-,-,-,-
142,-,-,-,-,-,-,-,-,[146],-,-,-,-,-,-,-,-,-,-
143,-,-,-,-,-,-,-,-,[146],-,-,-,-,-,-,-,-,-,-
144,-,-,-,-,-,-,-,-,[146],-,-,-,-,-,-,-,-,-,-
145,-,-,-,-,-,-,-,-,[146],-,-,-,-,-,-,-,-,-,-
146,-,-,-,-,-,-,-,-,-,[147],-,-,-,-,-,-,-,-,-
147,-,-,-,-,-,-,[150],-,-,-,-,-,-,-,-,-,-,-,-
148,-,-,-,-,[163],-,-,-,-,-,-,-,-,-,-,-,-,-,-
150,-,-,-,[156],[163],-,-,-,-,-,-,-,-,-,-,-,-,-,-
152,-,-,-,-,-,-,-,[153],-,-,-,-,-,-,-,-,-,-,-
153,-,-,-,-,-,-,-,-,-,[154],-,-,-,-,-,-,-,-,-
155,-,-,-,[156],[163],-,-,-,-,-,-,-,-,-,-,-,-,-,-
156,-,-,-,-,-,-,[158],-,-,-,-,-,-,-,-,-,-,-,-
158,-,-,-,[156],[163],-,-,-,[160],-,-,-,-,-,-,-,-,-,-
160,-,-,-,-,-,-,-,[161],-,-,-,-,-,-,-,-,-,-,-
161,-,-,-,-,-,-,-,-,-,[162],-,-,-,-,-,-,-,-,-
163,-,-,-,-,[114],-,-,-,-,-,-,-,-,[226],-,-,-,-,-
165,-,-,-,-,-,[172],-,-,-,-,-,-,-,-,-,-,-,-,-
166,-,-,-,-,-,[172],-,-,-,-,-,-,-,-,-,-,-,-,-
167,-,-,-,-,-,[172],-,-,-,-,-,-,-,-,-,-,-,-,-
168,-,-,-,-,-,[172],-,-,-,-,-,-,-,-,-,-,-,-,-
169,-,-,-,-,-,[172],-,-,-,-,-,-,-,-,-,-,-,-,-
170,-,-,-,-,-,[172],-,-,-,-,-,-,-,-,-,-,-,-,-
171,-,-,-,-,-,[172],-,-,-,-,-,-,-,-,-,-,-,-,-
172,-,[173],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
174,-,-,[224],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
175,-,-,[224],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
177,-,-,-,-,-,-,[186],-,-,-,-,-,-,-,-,-,-,-,-
178,-,-,-,-,-,-,[186],-,-,-,-,-,-,-,-,-,-,-,-
179,-,-,-,-,-,-,[186],-,-,-,-,-,-,-,-,-,-,-,-
180,-,-,-,-,-,-,[186],-,-,-,-,-,-,-,-,-,-,-,-
181,-,-,-,-,-,-,[186],-,-,-,-,-,-,-,-,-,-,-,-
182,-,-,-,-,-,-,[186],-,-,-,-,-,-,-,-,-,-,-,-
183,-,-,-,-,-,-,[186],-,-,-,-,-,-,-,-,-,-,-,-
185,-,-,[224],[192],[200],-,-,-,-,-,-,-,-,-,-,-,-,-,-
187,-,-,[224],[192],[200],-,-,-,-,-,-,-,-,-,-,-,-,-,-
188,-,-,-,-,-,-,-,[189],-,-,-,-,-,-,-,-,-,-,-
